user_id,Cluster
2,Cluster 1
3,Cluster 4
7,Cluster 1
10,Cluster 4
11,Cluster 1
13,Cluster 1
17,Cluster 1
21,Cluster 1
22,Cluster 1
24,Cluster 1
26,Cluster 1
27,Cluster 1
29,Cluster 1
30,Cluster 1
31,Cluster 1
34,Cluster 1
35,Cluster 4
37,Cluster 4
38,Cluster 3
39,Cluster 4
42,Cluster 1
43,Cluster 4
46,Cluster 1
47,Cluster 1
50,Cluster 4
52,Cluster 1
54,Cluster 4
56,Cluster 4
57,Cluster 1
58,Cluster 1
59,Cluster 4
60,Cluster 1
62,Cluster 5
63,Cluster 5
65,Cluster 4
71,Cluster 1
75,Cluster 5
77,Cluster 3
78,Cluster 1
80,Cluster 4
81,Cluster 1
86,Cluster 4
87,Cluster 1
89,Cluster 1
90,Cluster 3
91,Cluster 1
93,Cluster 1
96,Cluster 1
99,Cluster 1
102,Cluster 4
103,Cluster 1
104,Cluster 1
105,Cluster 1
108,Cluster 1
110,Cluster 5
112,Cluster 1
117,Cluster 1
118,Cluster 1
119,Cluster 1
121,Cluster 1
122,Cluster 1
124,Cluster 4
126,Cluster 4
131,Cluster 1
132,Cluster 1
133,Cluster 4
137,Cluster 1
138,Cluster 1
140,Cluster 2
141,Cluster 4
142,Cluster 1
144,Cluster 1
145,Cluster 1
146,Cluster 1
149,Cluster 1
150,Cluster 1
152,Cluster 1
153,Cluster 5
154,Cluster 3
155,Cluster 1
160,Cluster 4
161,Cluster 4
162,Cluster 1
167,Cluster 1
168,Cluster 1
169,Cluster 3
171,Cluster 1
173,Cluster 4
174,Cluster 1
175,Cluster 1
177,Cluster 1
182,Cluster 1
183,Cluster 1
184,Cluster 3
187,Cluster 1
190,Cluster 1
193,Cluster 1
194,Cluster 1
195,Cluster 1
197,Cluster 4
204,Cluster 4
205,Cluster 1
207,Cluster 1
208,Cluster 1
209,Cluster 3
210,Cluster 2
212,Cluster 1
214,Cluster 5
216,Cluster 4
217,Cluster 1
219,Cluster 1
220,Cluster 1
221,Cluster 1
222,Cluster 3
223,Cluster 4
225,Cluster 1
227,Cluster 5
229,Cluster 1
233,Cluster 4
234,Cluster 5
235,Cluster 3
236,Cluster 4
239,Cluster 1
242,Cluster 1
246,Cluster 1
247,Cluster 1
248,Cluster 5
249,Cluster 4
252,Cluster 1
255,Cluster 4
257,Cluster 1
258,Cluster 1
262,Cluster 1
264,Cluster 4
265,Cluster 1
267,Cluster 1
270,Cluster 4
272,Cluster 1
275,Cluster 1
276,Cluster 1
278,Cluster 4
279,Cluster 1
280,Cluster 5
281,Cluster 4
283,Cluster 1
284,Cluster 4
286,Cluster 1
287,Cluster 1
289,Cluster 5
290,Cluster 3
291,Cluster 1
293,Cluster 1
300,Cluster 4
301,Cluster 1
302,Cluster 1
304,Cluster 1
305,Cluster 1
306,Cluster 1
309,Cluster 4
310,Cluster 1
312,Cluster 1
313,Cluster 2
314,Cluster 1
315,Cluster 4
317,Cluster 1
318,Cluster 1
319,Cluster 1
321,Cluster 5
322,Cluster 4
323,Cluster 3
327,Cluster 4
328,Cluster 1
333,Cluster 1
334,Cluster 3
336,Cluster 1
337,Cluster 3
339,Cluster 1
341,Cluster 4
342,Cluster 1
346,Cluster 1
348,Cluster 1
350,Cluster 1
351,Cluster 4
357,Cluster 4
359,Cluster 4
362,Cluster 1
364,Cluster 4
365,Cluster 1
370,Cluster 1
372,Cluster 1
373,Cluster 5
374,Cluster 1
378,Cluster 1
381,Cluster 4
382,Cluster 1
383,Cluster 4
385,Cluster 1
387,Cluster 1
389,Cluster 1
390,Cluster 4
391,Cluster 4
396,Cluster 4
398,Cluster 5
402,Cluster 1
408,Cluster 1
409,Cluster 2
410,Cluster 1
411,Cluster 1
414,Cluster 1
417,Cluster 1
419,Cluster 1
420,Cluster 1
422,Cluster 4
423,Cluster 1
429,Cluster 1
432,Cluster 5
435,Cluster 1
436,Cluster 1
437,Cluster 3
440,Cluster 1
444,Cluster 5
448,Cluster 1
449,Cluster 1
451,Cluster 4
453,Cluster 1
454,Cluster 1
459,Cluster 1
462,Cluster 2
463,Cluster 4
464,Cluster 5
465,Cluster 4
466,Cluster 5
467,Cluster 1
469,Cluster 1
472,Cluster 1
474,Cluster 1
475,Cluster 1
478,Cluster 1
480,Cluster 1
482,Cluster 1
483,Cluster 1
484,Cluster 1
486,Cluster 4
487,Cluster 4
492,Cluster 1
493,Cluster 4
496,Cluster 4
501,Cluster 1
508,Cluster 4
510,Cluster 1
511,Cluster 4
515,Cluster 1
516,Cluster 1
518,Cluster 1
519,Cluster 1
520,Cluster 4
522,Cluster 1
525,Cluster 1
526,Cluster 3
528,Cluster 3
529,Cluster 1
530,Cluster 4
531,Cluster 1
535,Cluster 4
536,Cluster 4
537,Cluster 1
538,Cluster 1
540,Cluster 1
541,Cluster 1
543,Cluster 4
544,Cluster 1
545,Cluster 4
546,Cluster 1
551,Cluster 1
552,Cluster 1
553,Cluster 1
554,Cluster 1
555,Cluster 4
559,Cluster 1
560,Cluster 1
562,Cluster 1
563,Cluster 4
566,Cluster 1
567,Cluster 3
568,Cluster 1
571,Cluster 1
577,Cluster 4
580,Cluster 4
582,Cluster 4
583,Cluster 5
585,Cluster 1
588,Cluster 4
589,Cluster 4
591,Cluster 1
594,Cluster 1
595,Cluster 1
596,Cluster 5
599,Cluster 1
600,Cluster 4
601,Cluster 1
602,Cluster 1
604,Cluster 5
605,Cluster 1
606,Cluster 1
607,Cluster 1
609,Cluster 1
611,Cluster 1
612,Cluster 5
621,Cluster 3
623,Cluster 1
624,Cluster 1
626,Cluster 3
627,Cluster 1
629,Cluster 1
630,Cluster 1
632,Cluster 1
634,Cluster 1
635,Cluster 4
639,Cluster 1
640,Cluster 1
641,Cluster 4
643,Cluster 4
645,Cluster 1
646,Cluster 4
648,Cluster 4
649,Cluster 2
651,Cluster 1
652,Cluster 4
653,Cluster 4
654,Cluster 1
655,Cluster 3
656,Cluster 1
657,Cluster 4
658,Cluster 1
660,Cluster 4
662,Cluster 5
665,Cluster 1
667,Cluster 3
669,Cluster 1
671,Cluster 1
672,Cluster 4
675,Cluster 1
678,Cluster 1
680,Cluster 1
682,Cluster 1
684,Cluster 1
686,Cluster 1
688,Cluster 1
690,Cluster 5
692,Cluster 1
695,Cluster 1
696,Cluster 4
697,Cluster 1
698,Cluster 4
699,Cluster 5
702,Cluster 1
704,Cluster 3
705,Cluster 1
708,Cluster 1
711,Cluster 1
713,Cluster 1
715,Cluster 1
719,Cluster 4
720,Cluster 1
721,Cluster 1
722,Cluster 1
723,Cluster 4
724,Cluster 1
727,Cluster 1
728,Cluster 1
729,Cluster 1
730,Cluster 4
732,Cluster 1
736,Cluster 1
737,Cluster 1
739,Cluster 1
742,Cluster 4
743,Cluster 1
747,Cluster 4
751,Cluster 1
754,Cluster 1
756,Cluster 4
762,Cluster 5
765,Cluster 1
766,Cluster 1
768,Cluster 4
769,Cluster 1
772,Cluster 1
773,Cluster 1
777,Cluster 4
778,Cluster 1
779,Cluster 4
780,Cluster 1
786,Cluster 5
787,Cluster 1
788,Cluster 1
789,Cluster 1
795,Cluster 1
797,Cluster 5
798,Cluster 1
800,Cluster 4
806,Cluster 1
807,Cluster 1
809,Cluster 4
811,Cluster 1
812,Cluster 5
817,Cluster 4
818,Cluster 1
822,Cluster 4
824,Cluster 1
830,Cluster 4
831,Cluster 1
833,Cluster 4
836,Cluster 1
838,Cluster 1
839,Cluster 4
841,Cluster 4
844,Cluster 4
845,Cluster 1
846,Cluster 1
847,Cluster 2
848,Cluster 1
849,Cluster 1
852,Cluster 4
853,Cluster 4
854,Cluster 2
855,Cluster 4
857,Cluster 3
858,Cluster 1
859,Cluster 1
860,Cluster 1
862,Cluster 1
864,Cluster 1
868,Cluster 1
870,Cluster 4
871,Cluster 1
874,Cluster 5
877,Cluster 1
879,Cluster 1
880,Cluster 2
881,Cluster 3
886,Cluster 1
891,Cluster 4
893,Cluster 1
894,Cluster 3
898,Cluster 4
899,Cluster 4
901,Cluster 1
906,Cluster 4
908,Cluster 5
911,Cluster 5
913,Cluster 1
917,Cluster 1
928,Cluster 1
932,Cluster 4
933,Cluster 4
935,Cluster 1
936,Cluster 1
938,Cluster 1
940,Cluster 1
947,Cluster 1
948,Cluster 1
950,Cluster 1
956,Cluster 1
957,Cluster 1
958,Cluster 4
960,Cluster 4
961,Cluster 1
963,Cluster 1
964,Cluster 4
967,Cluster 1
968,Cluster 1
971,Cluster 1
972,Cluster 3
975,Cluster 1
977,Cluster 1
980,Cluster 1
981,Cluster 1
982,Cluster 1
984,Cluster 3
985,Cluster 1
986,Cluster 1
991,Cluster 1
992,Cluster 1
994,Cluster 1
995,Cluster 4
996,Cluster 1
997,Cluster 1
998,Cluster 1
999,Cluster 1
1000,Cluster 1
1001,Cluster 1
1002,Cluster 1
1004,Cluster 5
1005,Cluster 1
1006,Cluster 1
1008,Cluster 1
1009,Cluster 1
1013,Cluster 5
1015,Cluster 1
1018,Cluster 4
1021,Cluster 5
1022,Cluster 1
1024,Cluster 1
1027,Cluster 5
1029,Cluster 1
1031,Cluster 1
1033,Cluster 4
1034,Cluster 1
1035,Cluster 5
1036,Cluster 5
1037,Cluster 3
1039,Cluster 1
1045,Cluster 4
1046,Cluster 3
1048,Cluster 1
1050,Cluster 1
1052,Cluster 1
1053,Cluster 1
1056,Cluster 4
1058,Cluster 1
1059,Cluster 3
1062,Cluster 1
1063,Cluster 1
1065,Cluster 4
1066,Cluster 3
1067,Cluster 1
1068,Cluster 1
1069,Cluster 1
1070,Cluster 1
1072,Cluster 1
1075,Cluster 5
1077,Cluster 1
1078,Cluster 1
1080,Cluster 1
1081,Cluster 1
1083,Cluster 4
1084,Cluster 4
1085,Cluster 1
1088,Cluster 4
1089,Cluster 4
1091,Cluster 4
1095,Cluster 3
1096,Cluster 4
1097,Cluster 1
1099,Cluster 1
1101,Cluster 1
1102,Cluster 1
1105,Cluster 4
1106,Cluster 1
1112,Cluster 1
1113,Cluster 4
1114,Cluster 1
1115,Cluster 4
1116,Cluster 1
1118,Cluster 4
1120,Cluster 4
1122,Cluster 1
1123,Cluster 1
1128,Cluster 1
1130,Cluster 3
